id,school,nickname,abbreviation,home_url,arena,logo_url,conference_id
42,Miami,Hurricanes,,http://www.espn.com/mens-college-basketball/team/_/id/2390/miami-hurricanes,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png,4
43,NC State,Wolfpack,,http://www.espn.com/mens-college-basketball/team/_/id/152/nc-state-wolfpack,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png,4
44,North Carolina,Tar Heels,,http://www.espn.com/mens-college-basketball/team/_/id/153/north-carolina-tar-heels,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png,4
45,Notre Dame,Fighting Irish,,http://www.espn.com/mens-college-basketball/team/_/id/87/notre-dame-fighting-irish,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png,4
46,Pittsburgh,Panthers,,http://www.espn.com/mens-college-basketball/team/_/id/221/pittsburgh-panthers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png,4
47,Syracuse,Orange,,http://www.espn.com/mens-college-basketball/team/_/id/183/syracuse-orange,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png,4
48,Virginia,Cavaliers,,http://www.espn.com/mens-college-basketball/team/_/id/258/virginia-cavaliers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png,4
49,Virginia Tech,Hokies,,http://www.espn.com/mens-college-basketball/team/_/id/259/virginia-tech-hokies,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png,4
50,Wake Forest,Demon Deacons,,http://www.espn.com/mens-college-basketball/team/_/id/154/wake-forest-demon-deacons,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png,4
51,Florida Gulf Coast,Eagles,,http://www.espn.com/mens-college-basketball/team/_/id/526/florida-gulf-coast-eagles,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/526.png,5
52,Jacksonville,Dolphins,,http://www.espn.com/mens-college-basketball/team/_/id/294/jacksonville-dolphins,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/294.png,5
53,Kennesaw St,Owls,,http://www.espn.com/mens-college-basketball/team/_/id/338/kennesaw-st-owls,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/338.png,5
54,Lipscomb,Bisons,,http://www.espn.com/mens-college-basketball/team/_/id/288/lipscomb-bisons,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/288.png,5
55,NJIT,Highlanders,,http://www.espn.com/mens-college-basketball/team/_/id/2885/njit-highlanders,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2885.png,5
56,North Florida,Ospreys,,http://www.espn.com/mens-college-basketball/team/_/id/2454/north-florida-ospreys,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2454.png,5
57,South Carolina Upstate,Spartans,,http://www.espn.com/mens-college-basketball/team/_/id/2908/south-carolina-upstate-spartans,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2908.png,5
58,Stetson,Hatters,,http://www.espn.com/mens-college-basketball/team/_/id/56/stetson-hatters,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/56.png,5
59,Baylor,Bears,,http://www.espn.com/mens-college-basketball/team/_/id/239/baylor-bears,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png,6
60,Iowa State,Cyclones,,http://www.espn.com/mens-college-basketball/team/_/id/66/iowa-state-cyclones,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png,6
61,Kansas,Jayhawks,,http://www.espn.com/mens-college-basketball/team/_/id/2305/kansas-jayhawks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png,6
62,Kansas St,Wildcats,,http://www.espn.com/mens-college-basketball/team/_/id/2306/kansas-st-wildcats,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png,6
63,Oklahoma,Sooners,,http://www.espn.com/mens-college-basketball/team/_/id/201/oklahoma-sooners,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png,6
64,Oklahoma St,Cowboys,,http://www.espn.com/mens-college-basketball/team/_/id/197/oklahoma-st-cowboys,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png,6
65,TCU,Horned Frogs,,http://www.espn.com/mens-college-basketball/team/_/id/2628/tcu-horned-frogs,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png,6
66,Texas,Longhorns,,http://www.espn.com/mens-college-basketball/team/_/id/251/texas-longhorns,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png,6
67,Texas Tech,Red Raiders,,http://www.espn.com/mens-college-basketball/team/_/id/2641/texas-tech-red-raiders,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png,6
68,West Virginia,Mountaineers,,http://www.espn.com/mens-college-basketball/team/_/id/277/west-virginia-mountaineers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png,6
69,Butler,Bulldogs,,http://www.espn.com/mens-college-basketball/team/_/id/2086/butler-bulldogs,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2086.png,7
70,Creighton,Bluejays,,http://www.espn.com/mens-college-basketball/team/_/id/156/creighton-bluejays,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,7
71,DePaul,Blue Demons,,http://www.espn.com/mens-college-basketball/team/_/id/305/depaul-blue-demons,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/305.png,7
72,Georgetown,Hoyas,,http://www.espn.com/mens-college-basketball/team/_/id/46/georgetown-hoyas,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/46.png,7
